SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,Sourcelocation,,LIST OF COMPANY
7,PHENOMENA,PHENOMENA ELECTRONICS,"Dubai, United Arab Emirates","POWER ELECTRONICS , ESPANA,","Barcelona, Spain",,PHENOMENA ELECTRONICS
7,PHENOMENA,MAGNUM IMPEX FZE,"Sharjah, United Arab Emirates",YUTRON TECHNOLOGY COMPANY LIMITED,"Hongkong, China",,MAGNUM IMPEX FZE
7,PHENOMENA,PHENOMENA REPACKING & REFILLING SERVICES LLC,"Dubai, United Arab Emirates","ZHANGJIAGANG MARS PACKING MACHINERY CO., LTD","Jiangsu, China",,PHENOMENA REPACKING & REFILLING SERVICES LLC
8,ASMARA,ASMARA FUTURE MEDICAL EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates",ASMARA FUTURE MEDICAL EQUIPMENT,"Copenhagen, Denmark",,ASMARA FUTURE MEDICAL EQUIPMENT TRADING LLC
8,ASMARA,JVI GLOBAL FZE,"Ajman, United Arab Emirates","KIRII CONSTRUCTION MATERIALS CO., LTD","Chiyodaku, Tokyo Japan",,JVI GLOBAL FZE
8,ASMARA,STAR INTERNATIONAL FZE,"Dubai, United Arab Emirates","DYNISCO,VIATRAN INSTRUMENT SDN BHD","Perak, Malaysia",,STAR INTERNATIONAL FZE
9,GOLDEN BOX,"STONES NET GENERAL TRADING , F.Z.E","Dubai, United Arab Emirates",XIAMEN UNION STONE CO LTD.,"Fujian, China",,"STONES NET GENERAL TRADING , F.Z.E"
9,GOLDEN BOX,"SAND NET GENERAL TRADING,F.Z.E","Ajman, United Arab Emirates",SHANDONG YURUI INTERNATIONAL TRADING CO. LTD.,"Shandong, China",,"SAND NET GENERAL TRADING,F.Z.E"
9,GOLDEN BOX,NJMAT AL BALAD GENERAL TRADING,"Dubai, United Arab Emirates",ZEOCHEM AG,"Seestrasse, Switzerland",,NJMAT AL BALAD GENERAL TRADING
9,GOLDEN BOX,MEGA SUN LLC,"Sharjah, United Arab Emirates",BRIGHT FOOD GLOBAL DISTRIBUTION CO. LTD.,"Shanghai, China",,MEGA SUN LLC
9,GOLDEN BOX,MEGA MOON LLC,"Sharjah, United Arab Emirates",HANGZHOU WAHAHA GROUP CO LTD,"Hangzhou, China",,MEGA MOON LLC
11,GOHARY,GOHARY GENERAL TRADING LLC,"Dubai, United Arab Emirates",KUKA (HK) TRADE CO. LIMITED,Hongkong,,GOHARY GENERAL TRADING LLC
11,GOHARY,GOLDEN WORDS FZE,"Dubai, United Arab Emirates",PENTEX TRADING COMPANY,"Muara, Brunei Darusalam",,GOLDEN WORDS FZE
11,GOHARY,AMAZING HOUSE GENERAL TRADING LLC,"Dubai, United Arab Emirates",PENTEX TRADING COMPANY,"Muara, Brunei Darusalam",,AMAZING HOUSE GENERAL TRADING LLC
12,NIZIP GROUP,NIZIP GENERAL TRADING LLC,"Dubai, United Arab Emirates",ACC LIMITED,"Mumbai, India",,NIZIP GENERAL TRADING LLC
12,NIZIP GROUP,SAMOL GENERAL TRADING LLC,"Dubai, United Arab Emirates",SHANGHAI SA GA INTERNATIONAL CO LTD.,Shanghai China,,SAMOL GENERAL TRADING LLC
14,NORDISK,OCEAN TRADING LLC,"Dubai, United Arab Emirates",EVER GREEN MAKINA SANAYI IC VE DIS TICARET LIMITED SIRKETI,"Istanbul, Turkey",,OCEAN TRADING LLC
14,NORDISK,NORDISK FLOORING ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates","GUANGZHOU LINGYIN ELECTRONIC CO LTD,GUANGDONG, CHINA","Shanghai, China",,NORDISK FLOORING ELECTRONICS TRADING LLC
14,NORDISK,FUN TIME GENERAL TRADING (L L C),"Dubai, United Arab Emirates",SHANGHAI SIEVO HEAVY EQUIPMENT CO LTD,"Shanghai, China",,FUN TIME GENERAL TRADING (L L C)
