SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,
,,8. LEEBAZ GENERAL TRADING CO CO LLC,,,
,,9. SHINY CIRCLE GENERAL TRADING LLC,,,
,,10. STARTUS PETROCHEMICALS TRADING FZE,"Dubai, United Arab Emirates",,
14.00,NORDISK,1. OCEAN TRADING LLC,"Dubai, United Arab Emirates","EVER GREEN MAKINA SANAYI IC VE DIS TICARET LIMITED SIRKETI - ISTANBUL, TURKEY",
,,2. NORDISK FLOORING ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates","GUANGZHOU LINGYIN ELECTRONIC CO LTD-Guangdong, China",
,,3. FUN TIME GENERAL TRADING (L L C),"Dubai, United Arab Emirates","SHANGHAI SIEVO HEAVY EQUIPMENT CO LTD - SHANGHAI, CHINA",
,,4. OCEAN PEARL GENERAL TRADING LLC,"Dubai, United Arab Emirates","EVER GREEN MAKINA SANAYI IC VE DIS TICARET LIMITED SIRKETI - ANTALYA, TURKEY",
,,5. SADOUN TRADING LLC,"Dubai, United Arab Emirates",,
,,6. UNIVERSE INTERNATIONAL TRADING (FZE),"Sharjah, United Arab Emirates","LAND H MACHTECH CO., LTD  -   TAICHUNG CITY, TAIWAN",
,,7.MATOOL INTERNATIONAL FZE,"Sharjah, United Arab Emirates","LLTECH CO. LTD - Taipei, Taiwan",
,,8. SNOW LINE GENERAL TRADING LLC,"Dubai, United Arab Emirates",WHENZHOU CHANGS INTERNATIONAL,
,,9. MAGIC BRICKS BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates","COLORGRES BUILDING MATERIAL CO LTD - FOSHAN CITY, CHINA",
15.00,RADIN,1. RADIN GENERAL TRADING,"Dubai, United Arab Emirates","FLUXTEK INTERNATIONAL CORP -Jingjian Road, Pingtung City,Taiwan (R.O.C.)",
,,2. MARDIN GENERAL TRADING L.L.C,"Dubai, United Arab Emirates","VALTORQUE VALVES KFT - BUDAPEST, HUNGARY",
,,3. PHY ELECTRONICS TRADING,"Dubai, United Arab Emirates","HAKUTO CO. LTD - TOKYO, JAPAN",
,,1. AL ZAHRA ELECTRONICS LLC,"Dubai, United Arab Emirates",MARDIN ORIGINAL CLIENTS,
,,2. RAH TELL FZCO,"Dubai, United Arab Emirates","TIME LEADER GENERAL TRADING LIMITED.Hongkong,China",
16.00,BORSA,1. BORSA GENERAL TRADING LLC,"Dubai, United Arab Emirates",UAB NADY - FRANKFURT GERMANY,
,,2. MODESTO BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates","CEMBRIT HOLDING AS - AALBORG, DENMARK",
,,ORTA ASIA GENERAL TRADING FZE,"Ras Al Khaimah, United Arab Emirates","Anadolu Efes Biracilik ve Malt Sanayii AS - Istanbul, Turkey",
17.00,ALIZADEH,1. ABAN INTERNATIONAL GENERAL TRADING LLC,"Dubai, United Arab Emirates","LEMAR INTERNATIONAL SDN BHD - KLANG, MALAYSIA",
,,2. NORTH GULF INTERNATIONAL GENERAL TRADING LLC,"Dubai, United Arab Emirates","SEYOUNG GENERAL TRADING CO. LTD - SEOUL, SOUTH KOREA",
,,3. GULF EURO INTERNATIONAL,"Dubai, United Arab Emirates","DISTINGUISHED WAREHOUSES GULF CO. LLC - MUSCAT, SULTANATE OF OMAN",
,,4. SUPER VISION TRADING CO LLC,"Dubai, United Arab Emirates","KREMPEL GMBH - VAIHINGEN/ENZ, DEUTCHLAND",
,,5. JYANE BAU UND GEN UNTERNEHMUNG LLC,"Dubai, United Arab Emirates","SAMSON INTERNATIONAL ENTERPRISES LIMITED - TAICHUNG, TAIWAN",
,,6. BLUE STAR GULF ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates","CASTLES TECHNOLOGY CO. LTD - NEW TAIPEI, TAIWAN",
